"Wireless Headphones","Premium noise cancelling headphones with 20h battery life.",299.99,"Electronics","https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80"
"Smart Watch","Fitness tracker with heart rate monitor and GPS.",149.99,"Wearables","https://images.unsplash.com/photo-1523275335684-37898b6baf30?auto=format&fit=crop&w=800&q=80"
"DSLR Camera","Professional camera with 24MP sensor and 4K video.",899.99,"Photography","https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?auto=format&fit=crop&w=800&q=80"
"Running Shoes","Lightweight running shoes for marathon training.",129.50,"Footwear","https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&w=800&q=80"
"Mechanical Keyboard","RGB backlit gaming keyboard with blue switches.",89.99,"Electronics","https://images.unsplash.com/photo-1587829741301-dc798b91a05c?auto=format&fit=crop&w=800&q=80"
"Leather Backpack","Handcrafted genuine leather backpack.",199.00,"Accessories","https://images.unsplash.com/photo-1548036328-c9fa89d128fa?auto=format&fit=crop&w=800&q=80"
"Gaming Mouse","High precision optical sensor with 16000 DPI.",59.99,"Electronics","https://images.unsplash.com/photo-1527814050087-3793815479db?auto=format&fit=crop&w=800&q=80"
"Modern Lamp","Minimalist desk lamp with adjustable brightness.",45.00,"Home & Living","https://images.unsplash.com/photo-1507473888900-52e1ad146957?auto=format&fit=crop&w=800&q=80"
"Sunglasses","Classic aviator sunglasses with UV protection.",150.00,"Accessories","https://images.unsplash.com/photo-1572635196237-14b3f281503f?auto=format&fit=crop&w=800&q=80"
"Coffee Maker","Programmable coffee maker with thermal carafe.",79.99,"Home & Living","https://images.unsplash.com/photo-1517668808822-9ebb02f2a0e6?auto=format&fit=crop&w=800&q=80"
